Times: Vitória x Atlético Mineiro | Data: 08/19/2018 | Placar (2) x (4) | Publico Pagante: 38251 | Cidade: Manaus |*
Times: São Paulo x Criciuma | Data: 09/18/2018 | Placar (4) x (0) | Publico Pagante: 17784 | Cidade: Maringa |*
Times: JEC x Criciuma | Data: 07/08/2018 | Placar (4) x (1) | Publico Pagante: 41801 | Cidade: Maringa |*
Times: Flamengo x Atlético Mineiro | Data: 06/04/2018 | Placar (1) x (1) | Publico Pagante: 27547 | Cidade: Vitória |*
Times: Flamengo x Vitória | Data: 08/26/2018 | Placar (0) x (4) | Publico Pagante: 30840 | Cidade: Florianopolis |*
Times: Santos x Santos | Data: 09/21/2018 | Placar (3) x (3) | Publico Pagante: 50596 | Cidade: Maringa |*
Times: Fluminense x Criciuma | Data: 10/08/2018 | Placar (0) x (3) | Publico Pagante: 43950 | Cidade: Florianopolis |*
Times: Atlético Paranense x Internacional | Data: 09/22/2018 | Placar (0) x (0) | Publico Pagante: 52679 | Cidade: Salvador |*
Times: Juventos x Santos | Data: 04/12/2018 | Placar (4) x (3) | Publico Pagante: 54516 | Cidade: Vitória |*
Times: Atlético Mineiro x Santos | Data: 06/28/2018 | Placar (1) x (2) | Publico Pagante: 39530 | Cidade: Santa Maria |*
Times: Juventos x Real Madrid | Data: 02/27/2018 | Placar (1) x (4) | Publico Pagante: 09738 | Cidade: Sao Paulo |*
Times: Santos x São Paulo | Data: 12/25/2018 | Placar (0) x (4) | Publico Pagante: 21563 | Cidade: Belo Horizonte |*
Times: Santos x Bayern | Data: 03/28/2018 | Placar (4) x (2) | Publico Pagante: 24632 | Cidade: Blumenau |*
Times: Atlético Paranense x JEC | Data: 09/08/2018 | Placar (3) x (1) | Publico Pagante: 49838 | Cidade: Joinville |*
Times: JEC x Criciuma | Data: 01/01/2018 | Placar (3) x (3) | Publico Pagante: 52897 | Cidade: Santos |*
Times: Bayern x Atlético Paranense | Data: 06/29/2018 | Placar (1) x (3) | Publico Pagante: 49763 | Cidade: Maringa |*
Times: Atlético Mineiro x Criciuma | Data: 10/13/2018 | Placar (0) x (2) | Publico Pagante: 45304 | Cidade: Maringa |*
Times: Bayern x Santos | Data: 12/04/2018 | Placar (2) x (0) | Publico Pagante: 40235 | Cidade: Salvador |*
Times: Vitória x JEC | Data: 02/21/2018 | Placar (2) x (2) | Publico Pagante: 30429 | Cidade: Joinville |*
Times: Santos x Grêmio | Data: 10/10/2018 | Placar (2) x (2) | Publico Pagante: 08906 | Cidade: Santos |*
Times: Real Madrid x Criciuma | Data: 12/30/2018 | Placar (2) x (3) | Publico Pagante: 20864 | Cidade: Manaus |*
Times: Atlético Mineiro x Bayern | Data: 02/28/2018 | Placar (0) x (3) | Publico Pagante: 46240 | Cidade: Blumenau |*
Times: Fluminense x Atlético Mineiro | Data: 06/17/2018 | Placar (4) x (1) | Publico Pagante: 42815 | Cidade: Manaus |*
Times: JEC x Atlético Paranense | Data: 12/19/2018 | Placar (3) x (3) | Publico Pagante: 49950 | Cidade: Santa Maria |*
